55.2059 	EXP 	text_opt1: height = 0.05
55.2059 	EXP 	text_opt1: height = 0.05
55.2059 	EXP 	text_opt1: height = 0.05
55.2059 	EXP 	text_opt1: text = '1. 56'
55.2059 	EXP 	text_opt2: text = '2. 54'
55.2059 	EXP 	text_opt3: height = 0.05
55.2059 	EXP 	text_opt3: height = 0.05
55.2059 	EXP 	text_opt3: height = 0.05
55.2059 	EXP 	text_opt3: text = '3. 64'
55.2059 	EXP 	text_equation: autoDraw = True
55.2059 	EXP 	text_opt1: autoDraw = True
55.2059 	EXP 	text_opt2: autoDraw = True
55.2059 	EXP 	text_opt3: autoDraw = True
56.4001 	DATA 	Keypress: 3
56.4088 	EXP 	text_equation: autoDraw = False
56.4088 	EXP 	text_opt1: autoDraw = False
56.4088 	EXP 	text_opt2: autoDraw = False
56.4088 	EXP 	text_opt3: autoDraw = False
56.4088 	EXP 	text_2: autoDraw = True
58.4103 	EXP 	text_2: autoDraw = False
58.4103 	EXP 	text_2: autoDraw = False
58.4103 	EXP 	text_feedback: height = 0.05
58.4103 	EXP 	text_feedback: height = 0.05
58.4103 	EXP 	text_feedback: height = 0.05
58.4103 	EXP 	text_feedback: text = 'Incorrect!'
58.4103 	EXP 	text_feedback: autoDraw = True
59.7819 	DATA 	Keypress: escape
59.8518 	EXP 	arithmetic_task: status = STOPPED
59.8633 	EXP 	text_feedback: autoDraw = False
59.8634 	EXP 	arithmetic_task: status = STOPPED
59.8983 	EXP 	window1: mouseVisible = True
